time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-07T14:16:56.810Z,36.5279,70.3108,205.91,4.5,mb,,74,0.633,0.55,us,us20004yjp,2016-02-07T22:19:30.858Z,"40km E of Farkhar, Afghanistan",earthquake,6.4,6.3,0.311,3,reviewed,us,us
2016-02-07T10:26:57.610Z,36.0021,139.9827,49.94,4.6,mb,,112,0.283,1.13,us,us20004yin,2016-02-08T07:11:42.971Z,"1km S of Mitsukaido, Japan",earthquake,6.1,2,0.061,80,reviewed,us,us
2016-02-07T07:25:39.880Z,14.0863,145.202,90.75,5.1,mb,,58,0.59,0.73,us,us20004yi3,2016-02-07T14:18:50.180Z,"7km S of Rota, Northern Mariana Islands",earthquake,8,5.4,0.038,222,reviewed,us,us
2016-02-07T07:11:45.150Z,-9.0514,158.6616,10,5,mb,,36,1.326,0.79,us,us20004yi0,2016-02-07T15:14:21.557Z,"118km SSW of Dadali, Solomon Islands",earthquake,5,1.8,0.072,62,reviewed,us,us
2016-02-07T02:03:40.400Z,-15.2157,-173.3999,51,5.8,mwb,,41,2.038,0.91,us,us20004yh2,2016-02-09T22:10:15.283Z,"89km NNE of Hihifo, Tonga",earthquake,5.1,1.8,0.038,65,reviewed,us,us
2016-02-07T01:09:48.660Z,36.7777,140.516,4.12,4.6,mb,,128,0.605,0.89,us,us20004ygs,2016-02-07T11:13:06.503Z,"14km E of Daigo, Japan",earthquake,6.1,4.4,0.054,101,reviewed,us,us
2016-02-06T10:12:10.440Z,13.3189,-89.5829,64.22,4.6,mb,,170,0.5,1.18,us,us20004yb8,2016-02-06T18:14:50.090Z,"33km WSW of La Libertad, El Salvador",earthquake,7,7.7,0.057,92,reviewed,us,us
2016-02-06T06:20:22.360Z,-8.9421,-74.497,149.63,4.6,mb,,106,2.143,0.84,us,us20004yaj,2016-02-06T14:22:51.485Z,"61km SSE of Campoverde, Peru",earthquake,8.5,5.4,0.101,29,reviewed,us,us
2016-02-06T04:51:35.900Z,-17.2414,174.9773,10,5.1,mb,,69,2.977,1.08,us,us20004y9m,2016-02-06T12:54:02.692Z,"266km WNW of Nadi, Fiji",earthquake,9.5,1.9,0.05,129,reviewed,us,us
2016-02-06T01:39:18.300Z,-17.0008,174.9465,10,5.5,mb,,46,3.057,0.79,us,us20004y98,2016-02-10T02:59:49.000Z,"276km WNW of Nadi, Fiji",earthquake,7.2,1.7,0.047,157,reviewed,us,us
2016-02-05T23:01:26.790Z,34.8534,25.8226,10,4.7,mb,,52,1.543,1.23,us,us20004y80,2016-02-06T01:09:26.905Z,"19km SSE of Ierapetra, Greece",earthquake,7.4,1.9,0.055,100,reviewed,us,us
2016-02-05T20:31:06.310Z,-0.5469,96.996,29.51,4.5,mb,,115,1.927,1.15,us,us20004z2a,2016-02-09T21:49:21.969Z,"231km WNW of Sikabaluan, Indonesia",earthquake,7.5,5.3,0.106,29,reviewed,us,us
2016-02-05T20:11:08.950Z,-5.3383,141.6224,10.22,5.1,mb,,30,2.95,1.01,us,us20004y6q,2016-02-09T21:30:17.077Z,"94km NNE of Kiunga, Papua New Guinea",earthquake,6.4,3.7,0.061,87,reviewed,us,us
2016-02-05T19:57:27.390Z,22.9387,120.5928,23,6.4,mww,,14,0.361,1.21,us,us20004y6h,2016-02-10T20:12:52.632Z,"24km SSE of Yujing, Taiwan",earthquake,4.7,1.7,,,reviewed,us,us
2016-02-05T18:44:56.370Z,-4.4965,153.7612,79.35,4.6,mb,,107,1.621,0.74,us,us20004z21,2016-02-09T18:38:05.338Z,"80km E of Taron, Papua New Guinea",earthquake,8.6,7.8,0.105,29,reviewed,us,us
2016-02-05T17:48:43.180Z,-4.4354,153.6156,96.77,5.1,mb,,27,1.468,0.96,us,us20004y63,2016-02-09T17:27:49.524Z,"64km E of Taron, Papua New Guinea",earthquake,7,5.9,0.047,147,reviewed,us,us
2016-02-05T17:44:46.440Z,-7.8329,-74.5647,158.87,4.6,mb,,113,1.845,0.94,us,us20004y62,2016-02-09T17:06:46.984Z,"60km N of Pucallpa, Peru",earthquake,7.7,6.3,0.057,91,reviewed,us,us
2016-02-05T16:20:11.640Z,27.8396,85.2486,25.95,5.2,mb,,145,0.139,1.16,us,us20004y4t,2016-02-08T14:52:03.261Z,"16km NNW of Kathmandu, Nepal",earthquake,8.2,5.7,0.082,49,reviewed,us,us
2016-02-05T14:12:19.700Z,-19.0739,169.0615,106.48,4.9,mb,,68,2.409,1.38,us,us20004y2m,2016-02-05T22:14:55.160Z,"56km NNW of Isangel, Vanuatu",earthquake,7.6,7.3,0.073,60,reviewed,us,us
2016-02-05T13:42:12.040Z,-18.768,168.2519,41.12,4.9,mb,,79,2.214,0.68,us,us20004y2i,2016-02-05T21:45:09.864Z,"114km S of Port-Vila, Vanuatu",earthquake,5.7,7.9,0.132,18,reviewed,us,us
2016-02-05T10:44:40.050Z,-36.1344,-73.7512,12.9,4.5,mb,,164,1.86,0.75,us,us20004y11,2016-02-05T18:47:10.977Z,"86km NW of Talcahuano, Chile",earthquake,6.5,4.4,0.163,12,reviewed,us,us
2016-02-05T07:05:07.590Z,-20.9542,-67.4469,215.6,4.5,mb,,65,1.792,0.53,us,us20004y08,2016-02-05T15:07:52.089Z,"84km SW of Uyuni, Bolivia",earthquake,8.4,9.8,0.191,8,reviewed,us,us
2016-02-05T07:02:19.610Z,36.3624,139.1131,141.55,4.6,mb,,71,0.75,0.98,us,us20004y07,2016-02-06T07:25:18.721Z,"5km SE of Maebashi-shi, Japan",earthquake,4.2,5.7,0.101,29,reviewed,us,us
2016-02-05T05:28:08.570Z,-31.0814,-71.6656,26.68,4.9,mb,,149,0.407,0.84,us,us20004xzw,2016-02-05T18:59:42.040Z,"69km SW of Ovalle, Chile",earthquake,5.8,5.4,0.062,83,reviewed,us,us
2016-02-05T05:24:40.520Z,-31.074,-71.7623,25.85,5,mb,,144,0.413,0.76,us,us20004xzv,2016-02-05T13:27:23.096Z,"75km SW of Ovalle, Chile",earthquake,4.6,5.2,0.058,94,reviewed,us,us
2016-02-05T05:00:46.800Z,13.7502,122.3733,10,5.2,mb,,89,7.349,0.97,us,us20004xzs,2016-02-05T13:03:27.428Z,"8km ESE of San Francisco, Philippines",earthquake,8.5,1.9,0.054,115,reviewed,us,us
2016-02-05T04:12:56.970Z,-5.3662,151.6315,64.93,4.6,mb,,78,1.282,0.79,us,us20004xzk,2016-02-05T12:15:40.283Z,"132km SSW of Kokopo, Papua New Guinea",earthquake,9.6,9.4,0.103,28,reviewed,us,us
2016-02-04T23:45:36.320Z,19.3187,145.8239,123.44,4.7,mb,,73,4.055,0.56,us,us20004xyk,2016-02-05T07:48:10.093Z,"63km NNE of Agrihan, Northern Mariana Islands",earthquake,9.3,6.8,0.038,213,reviewed,us,us
2016-02-04T22:41:47.400Z,35.564,139.6355,31.56,4.8,mb,,111,0.803,0.86,us,us20004xxu,2016-02-08T07:57:28.182Z,"8km WNW of Kawasaki, Japan",earthquake,5.1,5.4,0.089,39,reviewed,us,us
2016-02-04T22:41:39.850Z,13.8257,122.2957,44.97,5.1,mb,,48,7.449,0.95,us,us20004xxv,2016-02-04T23:03:05.906Z,"3km SSE of Rosario, Philippines",earthquake,8.3,6.6,0.051,127,reviewed,us,us
